m0,m1,m2,j,FOV,globX,globY,Names,cell_ID,cell_center_X,cell_center_Y,cell_center_globX,cell_center_globY,cell_number,cell_globID
0,1621,1921,0,3,2773.0,16436.0,Vglut1,2025,1277.3030623020063,1481.429778247096,9571.303062302006,18069.429778247097,2025_3,4947
0,1622,2110,0,3,2774.0,16625.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1623,1917,0,3,2775.0,16432.0,Vglut1,2025,1277.3030623020063,1481.429778247096,9571.303062302006,18069.429778247097,2025_3,4947
0,1623,2117,0,3,2775.0,16632.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1625,2077,0,3,2777.0,16592.0,Vglut1,2026,1282.2298578199052,1613.190363349131,9576.229857819904,18201.19036334913,2026_3,4948
0,1626,2229,0,3,2778.0,16744.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1627,2240,0,3,2779.0,16755.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1628,2125,0,3,2780.0,16640.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1628,2185,0,3,2780.0,16700.0,Vglut1,2028,1284.5009334163037,1563.6397013067829,9578.500933416304,18151.639701306784,2028_3,4950
0,1629,2118,0,3,2781.0,16633.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1631,2228,0,3,2783.0,16743.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1633,2118,0,3,2785.0,16633.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1633,2192,0,3,2785.0,16707.0,Vglut1,2028,1284.5009334163037,1563.6397013067829,9578.500933416304,18151.639701306784,2028_3,4950
0,1634,1909,0,3,2786.0,16424.0,Vglut1,2025,1277.3030623020063,1481.429778247096,9571.303062302006,18069.429778247097,2025_3,4947
0,1636,2223,0,3,2788.0,16738.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1638,1906,0,3,2790.0,16421.0,Vglut1,2025,1277.3030623020063,1481.429778247096,9571.303062302006,18069.429778247097,2025_3,4947
0,1639,2228,0,3,2791.0,16743.0,Vglut1,2029,1280.89110707804,2205.7096188747732,9574.89110707804,18793.709618874775,2029_3,4951
0,1640,1888,0,3,2792.0,16403.0,Vglut1,2025,1277.3030623020063,1481.429778247096,9571.303062302006,18069.429778247097,2025_3,4947
0,1640,2110,0,3,2792.0,16625.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
